기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,KOSDAQ,우리기술,032820,36443,20400,19.2,460.4,403.7,1056.5,370.05,322.47,869.95,372.2,2.94,40.0
2026-03-31,KOSDAQ,페니트리움바이오,187660,7870,11050,-40.8,364.3,362.3,538.7,684.45,681.17,979.19,283.3,27.6,
2026-03-31,KOSPI,대우건설,047040,100672,15550,53.4,307.1,334.4,393.7,165.45,183.24,221.9,256.3,50.8,
2026-03-31,KOSDAQ,성호전자,043260,34007,37750,46.0,308.5,3543.8,3697.8,179.76,2395.17,2500.6,256.0,29.54,1.0
2026-03-31,KOSDAQ,대한광통신,010170,29635,7240,68.6,239.6,421.6,1362.6,101.45,209.44,767.68,205.4,171.55,
2026-03-31,KOSDAQ,삼천당제약,000250,119163,829000,0.5,256.6,284.7,402.4,254.84,282.83,400.0,205.3,-37.88,51.0
2026-03-31,KOSDAQ,스피어,347700,19474,43200,0.7,194.1,314.6,486.2,192.04,311.71,482.09,155.4,-9.72,15.0
2026-03-31,KOSDAQ,삼표시멘트,038500,18205,14800,-14.7,196.6,361.1,396.6,247.7,440.5,482.21,154.3,13.72,29.0
2026-03-31,KOSDAQ,아주IB투자,027360,10297,8120,39.8,181.5,266.6,296.1,101.39,162.3,183.41,153.1,4.56,
2026-03-31,KOSPI,SK이터닉스,475150,20065,54300,88.5,162.3,150.8,334.1,39.13,33.03,130.22,147.6,8.84,
2026-03-31,KOSDAQ,현대바이오,048410,12931,13300,-15.2,167.9,150.0,144.5,215.81,194.74,188.24,131.3,0.15,66.0
2026-03-31,KOSPI,HD현대에너지솔루션,322000,18043,139100,33.8,154.3,204.4,526.6,90.13,127.57,368.47,130.2,16.25,
2026-03-31,KOSPI,미래에셋증권,006800,365398,61600,-14.1,165.0,189.8,574.7,208.35,237.25,685.2,129.2,5.52,43.0
2026-03-31,KOSDAQ,RFHIC,218410,24455,75000,32.0,129.7,152.5,435.0,73.97,91.25,305.14,110.2,22.8,83.0
2026-03-31,KOSDAQ,기가비스,420770,11484,72700,1.0,130.8,101.4,181.2,128.57,99.45,178.53,104.8,22.15,88.0
2026-03-31,KOSDAQ,쎄트렉아이,099320,17949,160500,-15.6,134.0,132.9,263.1,177.26,176.05,330.32,104.0,3.55,13.0
2026-03-31,KOSDAQ,에스티큐브,052020,10822,16800,88.1,104.9,139.0,168.8,8.9,27.03,42.88,101.5,-6.79,
